Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,4.454920,4.454920,4.249880,4.259200,3.601770,231333
2015-01-05,4.277840,4.287160,4.082120,4.147360,3.507193,602688
2015-01-06,4.128720,4.231240,4.110080,4.231240,3.578125,368136
2015-01-07,4.287160,4.482880,4.259200,4.454920,3.767279,390776
2015-01-08,4.333760,4.482880,4.277840,4.380360,3.704228,336055
2015-01-09,4.417640,4.417640,4.091440,4.128720,3.491430,742818
2015-01-12,4.147360,4.147360,3.877080,3.914360,3.310158,710843
2015-01-13,3.942320,4.016880,3.793200,3.793200,3.207700,446571
2015-01-14,3.811840,3.877080,3.746610,3.774570,3.191945,312664
2015-01-15,3.830480,3.858440,3.681370,3.690690,3.121012,306119
2015-01-16,3.700010,3.858440,3.672050,3.765250,3.184063,948399
2015-01-19,3.811840,3.858440,3.681370,3.727970,3.152538,383587
2015-01-20,3.727970,3.765250,3.569530,3.653410,3.089487,283908
2015-01-21,3.616130,3.653410,3.532250,3.634770,3.073724,264595
2015-01-22,3.634770,3.802520,3.625450,3.802520,3.215581,626186
2015-01-23,3.765250,3.783880,3.606810,3.746610,3.168301,548074
2015-01-26,3.681370,3.709330,3.504290,3.588170,3.034317,363093
2015-01-27,3.550890,3.588170,3.467010,3.588170,3.034317,163628
2015-01-28,3.634770,3.700010,3.513610,3.700010,3.128894,327471
2015-01-29,3.700010,3.858440,3.588170,3.858440,3.262869,484768
2015-01-30,3.858440,3.858440,3.625450,3.644090,3.081605,1161277
2015-02-02,3.625450,3.774570,3.588170,3.774570,3.191945,804943
2015-02-03,3.802520,3.933000,3.737290,3.821160,3.231344,1415893
2015-02-04,3.783880,3.886400,3.690690,3.802520,3.215581,481442
2015-02-05,3.802520,4.063480,3.765250,4.063480,3.436260,1558813
2015-02-06,4.063480,4.119400,3.858440,4.026200,3.404734,815458
2015-02-09,3.988920,4.100760,3.914360,4.100760,3.467786,1862249
2015-02-10,4.110080,4.110080,3.811840,3.811840,3.223462,430476
2015-02-11,3.858440,3.858440,3.616130,3.755930,3.176182,550971
2015-02-12,3.774570,3.774570,3.606810,3.606810,3.050080,439596
2015-02-13,3.625450,3.783880,3.522930,3.783880,3.199818,724899
2015-02-18,3.765250,3.942320,3.765250,3.858440,3.262869,136589
2015-02-19,3.942320,3.942320,3.681370,3.681370,3.113131,661701
2015-02-20,3.690690,3.727970,3.606810,3.634770,3.073724,244208
2015-02-23,3.644090,3.718650,3.625450,3.662730,3.097368,276827
2015-02-24,3.690690,3.718650,3.653410,3.662730,3.097368,230260
2015-02-25,3.672050,3.811840,3.653410,3.681370,3.113131,794643
2015-02-26,3.718650,3.933000,3.616130,3.774570,3.191945,824364
2015-02-27,3.783880,3.830480,3.662730,3.718650,3.144657,630693
2015-03-02,3.811840,3.830480,3.690690,3.821160,3.231344,800007
2015-03-03,3.811840,3.914360,3.727970,3.802520,3.215581,364381
