Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6.790990,6.836440,6.545530,6.572800,5.108276,1848968
2015-01-05,6.572800,6.581900,6.336440,6.454620,5.016428,2093055
2015-01-06,6.418260,6.754630,6.363710,6.627350,5.150671,1866568
2015-01-07,6.681900,7.045540,6.618260,6.772810,5.263721,1728960
2015-01-08,6.890990,7.045540,6.800080,6.854630,5.327310,1113517
2015-01-09,6.772810,6.772810,6.472800,6.527350,5.072953,1973157
2015-01-12,6.545530,6.554620,6.363710,6.363710,4.945775,1731380
2015-01-13,6.445530,6.600080,6.381890,6.509170,5.058824,1984047
2015-01-14,6.400080,6.563710,6.272800,6.436440,5.002299,2223624
2015-01-15,6.381890,6.472800,6.236440,6.254620,4.860991,1712130
2015-01-16,6.281890,6.445530,6.209160,6.327350,4.917515,1757559
2015-01-19,6.272800,6.454620,6.109160,6.227350,4.839798,874820
2015-01-20,6.318260,6.500080,6.254620,6.427350,4.995235,1836538
2015-01-21,6.390980,6.545530,6.245530,6.500080,5.051759,1584751
2015-01-22,6.600080,6.763720,6.536440,6.590990,5.122413,2814867
2015-01-23,6.490990,6.627350,6.290980,6.381890,4.959904,2398302
2015-01-26,6.454620,6.454620,6.172800,6.309170,4.903387,2248263
2015-01-27,6.209160,6.427350,6.172800,6.354620,4.938711,3198762
2015-01-28,6.263710,6.436440,6.200070,6.263710,4.868056,3724116
2015-01-29,6.272800,6.454620,6.254620,6.381890,4.959904,2937515
2015-01-30,6.263710,6.427350,6.090980,6.263710,4.868056,3971283
2015-02-02,6.336440,6.400080,6.136440,6.400080,4.974041,1556592
2015-02-03,6.445530,6.481890,6.236440,6.336440,4.924580,5057630
2015-02-04,6.372800,6.409170,6.181890,6.290980,4.889250,2284123
2015-02-05,6.300070,6.618260,6.272800,6.590990,5.122413,2899566
2015-02-06,6.472800,6.554620,6.263710,6.336440,4.924580,2659659
2015-02-09,6.372800,6.636440,6.327350,6.636440,5.157737,1920467
2015-02-10,6.500080,6.663720,6.363710,6.427350,4.995235,2017706
2015-02-11,6.327350,6.463710,6.227350,6.281890,4.882185,1985587
2015-02-12,6.309170,6.518260,6.290980,6.354620,4.938711,2408862
2015-02-13,6.363710,6.627350,6.345530,6.600080,5.129478,1911447
2015-02-18,6.436440,6.900080,6.436440,6.618260,5.143607,2207454
2015-02-19,6.627350,6.900080,6.618260,6.745530,5.242519,1046418
2015-02-20,6.790990,6.827350,6.581900,6.663720,5.178937,1774169
2015-02-23,6.590990,6.690990,6.372800,6.372800,4.952839,2462431
2015-02-24,6.427350,6.481890,6.300070,6.381890,4.959904,2683308
2015-02-25,6.363710,6.363710,6.236440,6.290980,4.889250,3913864
2015-02-26,6.309170,6.563710,6.309170,6.463710,5.023492,2371022
2015-02-27,6.481890,6.581900,6.127350,6.145530,4.776208,4423598
2015-03-02,6.172800,6.454620,6.154620,6.409170,4.981106,2929045
2015-03-03,6.409170,6.490990,6.318260,6.436440,5.002299,2709818
2015-03-04,6.345530,6.400080,6.045530,6.090980,4.733813,3663287
2015-03-05,6.145530,6.163710,5.836430,6.000070,4.663159,9744675
2015-03-06,6.100070,6.318260,6.063710,6.209160,4.825661,4660645
2015-03-09,6.136440,6.154620,5.945520,6.054620,4.705554,3080624
2015-03-10,6.018250,6.318260,5.981890,6.281890,4.882185,3076444
2015-03-11,6.181890,6.354620,6.163710,6.345530,4.931646,3730166
2015-03-12,6.363710,6.490990,6.227350,6.281890,4.882185,4432618
2015-03-13,6.345530,6.345530,6.109160,6.300070,4.896315,3730496
2015-03-16,6.290980,6.418260,6.172800,6.400080,4.974041,3724996
2015-03-17,6.409170,6.727350,6.290980,6.618260,5.143607,5311837
