Estado,Homens,Mulheres,Total
SP,579967,195466,775433
RJ,166347,57578,223925
MG,137623,40460,178083
RS,84596,23734,108330
SC,69704,18844,88548
PR,91140,25906,117046
BA,45724,13994,59718
DF,53053,18686,71739
ES,29266,8287,37553
PE,33357,9660,43017
CE,27724,7789,35513
GO,32926,9922,42848
PB,12304,3552,15856
MT,14860,4188,19048
MS,13694,3823,17517
PA,14973,4665,19638
RN,13337,3346,16683
AM,10206,3250,13456
MA,10666,3150,13816
AL,7947,2221,10168
SE,7741,2144,9885
PI,6423,1841,8264
RO,5719,1701,7420
AP,1496,451,1947
AC,1973,570,2543
RR,1764,547,2311
TO,4093,1209,5302
