Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,16.750000,17.950001,15.300000,16.750000,16.750000,1604100
2015-01-05,16.750000,16.799999,14.150000,14.350000,14.350000,929780
2015-01-06,14.200000,15.100000,13.700000,13.700000,13.700000,543240
2015-01-07,13.900000,14.450000,13.600000,13.950000,13.950000,545800
2015-01-08,14.050000,14.150000,13.250000,13.600000,13.600000,285560
2015-01-09,13.500000,13.500000,12.850000,13.000000,13.000000,160940
2015-01-12,13.000000,14.400000,12.650000,14.200000,14.200000,448240
2015-01-13,14.200000,15.200000,13.250000,13.350000,13.350000,544520
2015-01-14,13.400000,13.400000,12.100000,12.150000,12.150000,541480
2015-01-15,12.200000,12.950000,11.650000,12.300000,12.300000,423300
2015-01-16,12.250000,12.400000,11.850000,12.000000,12.000000,231200
2015-01-19,11.900000,12.150000,11.250000,11.700000,11.700000,388820
2015-01-20,11.750000,12.250000,11.750000,11.900000,11.900000,342400
2015-01-21,11.700000,13.400000,11.600000,12.950000,12.950000,596780
2015-01-22,13.150000,13.900000,13.050000,13.100000,13.100000,455580
2015-01-23,13.150000,13.900000,12.750000,13.600000,13.600000,147440
2015-01-26,13.600000,13.950000,13.200000,13.650000,13.650000,181680
2015-01-27,13.500000,13.750000,12.750000,12.950000,12.950000,240500
2015-01-28,12.850000,13.000000,12.050000,12.100000,12.100000,260240
2015-01-29,12.050000,12.150000,11.550000,11.750000,11.750000,229300
2015-01-30,11.550000,11.700000,10.650000,10.650000,10.650000,297960
2015-02-02,10.850000,11.150000,10.250000,10.350000,10.350000,393220
2015-02-03,10.500000,11.650000,10.300000,11.400000,11.400000,402260
2015-02-04,11.600000,11.850000,10.600000,10.700000,10.700000,540320
2015-02-05,10.650000,11.850000,10.400000,11.850000,11.850000,427280
2015-02-06,11.750000,11.750000,11.050000,11.250000,11.250000,153580
2015-02-09,11.200000,12.200000,10.950000,11.500000,11.500000,385080
2015-02-10,11.450000,11.950000,11.150000,11.450000,11.450000,244000
2015-02-11,11.450000,12.450000,11.250000,12.050000,12.050000,371240
2015-02-12,12.250000,12.750000,12.200000,12.600000,12.600000,145580
2015-02-13,12.850000,13.400000,12.350000,13.250000,13.250000,242780
2015-02-18,13.300000,15.200000,13.050000,14.850000,14.850000,440640
2015-02-19,14.950000,15.150000,14.250000,14.400000,14.400000,272040
2015-02-20,14.450000,14.700000,13.900000,14.250000,14.250000,135980
2015-02-23,14.150000,14.350000,13.200000,13.200000,13.200000,171400
2015-02-24,13.300000,13.850000,12.700000,12.850000,12.850000,201340
2015-02-25,12.700000,13.350000,12.450000,13.100000,13.100000,202360
2015-02-26,13.400000,14.100000,13.000000,14.000000,14.000000,240380
2015-02-27,14.050000,14.800000,13.650000,14.450000,14.450000,236960
2015-03-02,14.500000,14.850000,14.250000,14.450000,14.450000,151880
2015-03-03,14.450000,14.900000,14.250000,14.900000,14.900000,138580
2015-03-04,14.650000,14.750000,14.250000,14.300000,14.300000,134520
2015-03-05,14.300000,14.550000,13.300000,13.750000,13.750000,570820
2015-03-06,13.850000,14.200000,13.650000,14.000000,14.000000,108980
2015-03-09,14.000000,14.000000,13.300000,13.500000,13.500000,92440
2015-03-10,13.550000,13.650000,13.100000,13.100000,13.100000,95300
2015-03-11,13.200000,13.350000,12.800000,13.050000,13.050000,137680
2015-03-12,13.150000,14.100000,13.150000,13.600000,13.600000,233500
2015-03-13,13.550000,14.600000,13.300000,14.450000,14.450000,136420
2015-03-16,14.450000,15.000000,13.350000,13.350000,13.350000,225940
2015-03-17,13.450000,14.350000,13.250000,14.350000,14.350000,137680
2015-03-18,14.100000,16.750000,13.900000,16.750000,16.750000,443000
2015-03-19,15.750000,15.950000,14.000000,14.000000,14.000000,758380
2015-03-20,13.950000,14.500000,13.250000,13.250000,13.250000,677980
2015-03-23,13.500000,13.550000,12.850000,13.400000,13.400000,264380
2015-03-24,13.500000,13.750000,13.250000,13.500000,13.500000,218360
2015-03-25,13.750000,14.250000,13.550000,13.600000,13.600000,285400
2015-03-26,13.400000,13.550000,12.900000,13.250000,13.250000,314620
2015-03-27,13.100000,13.650000,12.850000,13.400000,13.400000,301860
2015-03-30,13.350000,13.650000,12.950000,12.950000,12.950000,213640
2015-03-31,13.000000,13.250000,12.600000,13.050000,13.050000,242860
2015-04-01,13.150000,13.350000,13.000000,13.050000,13.050000,176380
2015-04-02,13.100000,13.300000,12.900000,13.150000,13.150000,176020
2015-04-06,13.250000,13.750000,13.250000,13.300000,13.300000,842160
2015-04-07,13.450000,13.600000,12.950000,12.950000,12.950000,290580
2015-04-08,13.000000,13.050000,12.600000,12.600000,12.600000,256260
2015-04-09,12.350000,12.950000,12.150000,12.650000,12.650000,252280
2015-04-10,12.700000,12.900000,12.500000,12.550000,12.550000,146800
2015-04-13,12.550000,12.600000,12.100000,12.250000,12.250000,205340
2015-04-14,12.250000,12.400000,12.000000,12.150000,12.150000,66180
2015-04-15,12.100000,12.550000,12.100000,12.450000,12.450000,120680
2015-04-16,12.500000,12.500000,12.050000,12.100000,12.100000,70360
2015-04-17,12.150000,12.200000,11.950000,11.950000,11.950000,102380
2015-04-20,12.000000,12.100000,11.350000,11.400000,11.400000,188480
2015-04-22,11.500000,11.750000,11.350000,11.600000,11.600000,134600
2015-04-23,11.650000,11.650000,11.350000,11.550000,11.550000,76020
2015-04-24,11.650000,12.800000,11.550000,12.250000,12.250000,538640
2015-04-27,12.600000,12.850000,11.850000,11.900000,11.900000,336200
2015-04-28,12.050000,12.100000,11.500000,11.550000,11.550000,220960
2015-04-29,11.500000,11.500000,11.050000,11.100000,11.100000,390200
2015-04-30,11.100000,11.850000,11.050000,11.500000,11.500000,207740
2015-05-04,11.600000,11.600000,11.300000,11.400000,11.400000,117020
2015-05-05,11.450000,11.950000,11.350000,11.450000,11.450000,183160
2015-05-06,11.450000,11.650000,11.300000,11.300000,11.300000,120980
2015-05-07,11.450000,11.600000,10.900000,11.000000,11.000000,208500
2015-05-08,11.150000,11.250000,10.800000,10.850000,10.850000,106680
2015-05-11,10.900000,10.900000,10.650000,10.800000,10.800000,74020
2015-05-12,10.800000,10.800000,10.300000,10.400000,10.400000,228480
2015-05-13,10.500000,10.700000,10.450000,10.500000,10.500000,144540
2015-05-14,10.450000,10.550000,10.350000,10.450000,10.450000,114480
2015-05-15,10.450000,10.750000,10.150000,10.300000,10.300000,415400
2015-05-18,10.450000,10.450000,10.050000,10.100000,10.100000,208400
2015-05-19,10.150000,10.150000,9.750000,9.750000,9.750000,215860
2015-05-20,9.750000,9.800000,9.450000,9.500000,9.500000,231280
2015-05-21,9.450000,9.600000,9.400000,9.450000,9.450000,138780
2015-05-22,9.500000,9.600000,8.700000,8.700000,8.700000,354600
2015-05-25,8.800000,8.900000,8.250000,8.250000,8.250000,348300
2015-05-26,8.300000,8.400000,7.750000,7.750000,7.750000,458340
2015-05-27,7.850000,7.900000,7.400000,7.500000,7.500000,429100
